Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21431100,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
21431509,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21432358,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
21432540,00000050,false,Rx,0,4,00,01,00,01,00,00,00,00,
21438205,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
21438393,00000280,false,Rx,0,8,01,72,00,00,72,00,2C,00,
21438649,00000488,false,Rx,0,8,F6,00,00,80,A6,00,00,D0,
21438895,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21439156,000005A0,false,Rx,0,8,64,01,00,5A,42,00,00,30,
21442362,00000588,false,Rx,0,8,E9,03,80,00,63,00,00,00,
21445190,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
21448320,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
21448574,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
21452084,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
21452330,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
21452584,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21452756,00000050,false,Rx,0,4,00,01,10,11,00,00,00,00,
21453001,000005A0,false,Rx,0,8,64,01,00,08,50,00,00,30,
21456843,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21457047,00000420,false,Rx,0,8,06,78,78,44,00,00,FF,00,
21458337,00000280,false,Rx,0,8,01,72,00,00,72,00,2C,00,
21458543,00000488,false,Rx,0,8,39,00,00,7F,A6,00,00,E0,
21459243,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
21462298,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
21466041,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
21466293,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21466547,000005A0,false,Rx,0,8,64,01,00,B6,5D,00,00,30,
21468305,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
21468564,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
21472294,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
21472552,00000050,false,Rx,0,4,00,01,20,21,00,00,00,00,
21473177,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
21478323,00000280,false,Rx,0,8,01,72,00,00,72,00,2C,00,
21478516,00000488,false,Rx,0,8,29,00,00,7F,A6,00,00,F0,
21480205,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
21480449,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21480809,000005A0,false,Rx,0,8,64,01,00,64,6B,00,00,30,
21480836,00000570,false,Rx,0,4,07,00,DE,00,00,00,00,00,
21482046,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21482305,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
21487100,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
21488338,00000288,false,Rx,0,8,0C,52,00,00,00,56,00,00,
21488594,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
21492324,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
21492580,00000050,false,Rx,0,4,00,01,30,31,00,00,00,00,
21494194,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
21494443,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21494696,000005A0,false,Rx,0,8,64,01,00,12,79,00,00,30,
21498370,00000280,false,Rx,0,8,01,72,00,00,72,00,2C,00,
21498627,00000488,false,Rx,0,8,26,00,00,80,A6,00,00,00,
21501190,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
21502357,00000588,false,Rx,0,8,E9,04,80,00,63,00,00,00,
21507190,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
