Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
918112074,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
918117516,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
918124613,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
918132152,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
918138661,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
918145536,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
918152607,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
918159611,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
918166484,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
918173628,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
918180885,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
918187537,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
918194609,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
918201645,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
918208538,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
918215632,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
918222673,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
918229543,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
918236673,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
918243641,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
918250610,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
918257632,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
918264649,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
918272355,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
918278701,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
