Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5570719,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
5571971,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
5577602,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
5577848,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5578103,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
5578349,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5578603,000005A0,false,Rx,0,8,64,01,00,F4,FD,00,00,30,
5581846,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
5582019,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
5582197,00000050,false,Rx,0,4,00,01,D0,D1,00,00,00,00,
5583051,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5584747,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
5587963,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5588150,00000488,false,Rx,0,8,86,00,00,80,A6,00,00,A0,
5591737,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
5591983,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5592240,00000588,false,Rx,0,8,E9,02,80,00,63,00,00,00,
5592493,000005A0,false,Rx,0,8,64,01,00,A2,0B,00,00,30,
5597971,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
5598224,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5598703,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
5601913,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
5602167,00000050,false,Rx,0,4,00,01,E0,E1,00,00,00,00,
5605810,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
5606094,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5606235,000005A0,false,Rx,0,8,64,01,00,50,19,00,00,30,
5607903,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5608021,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5608276,00000488,false,Rx,0,8,69,00,00,7F,A6,00,00,B0,
5608529,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
5608775,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
5611981,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
5612769,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
5617948,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
5618201,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5619670,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
5619916,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5620169,000005A0,false,Rx,0,8,64,01,00,FE,26,00,00,30,
5621939,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
5622195,00000050,false,Rx,0,4,00,01,F0,F1,00,00,00,00,
